Title,Date
"Sao Việt 19/2: Xuân Bắc tươi tắn hậu ồn ào, Hoa hậu Thu Hoài nóng bỏng ở tuổi 47",2023-02-19T07:47:00
"NSƯT Xuân Bắc tái xuất mạng xã hội sau ồn ào ""Cái tát của mẹ""",2023-02-04T10:01:00
"Diện mạo mới thay đổi chóng mặt của Bi Béo khiến bà xã Xuân Bắc phải thốt lên ""không nhận ra"": Bi đã khác ngày xưa lắm rồi!",2023-01-31T19:13:00
"Xuân Bắc và những lần vướng rắc rối, tranh cãi trên mạng xã hội",2023-01-31T07:59:00
"Khi 2 danh hài Vbiz vướng tranh cãi: Xuân Bắc phải xin lỗi, Trấn Thành bị một phen lao đao",2023-01-28T16:49:57
"Nghệ sĩ Xuân Bắc xin lỗi khán giả về bài viết ""Cái tát của mẹ""",2023-01-27T19:54:00
"Bộ VH,TT&DL: ""Nếu Xuân Bắc có vi phạm thì sẽ xử lý""",2023-01-27T15:38:00
Dàn Táo Quân đang làm gì giữa lúc Xuân Bắc gặp lùm xùm?,2023-01-27T12:44:46
Cục Nghệ thuật Biểu diễn nói gì sau phát ngôn ẩn ý của Xuân Bắc với khán giả?,2023-01-26T21:34:00
"Xuân Bắc, anh sai rồi!",2023-01-26T13:30:00
"NSƯT Xuân Bắc vẫn giữ một thái độ dù gây tranh cãi về phát ngôn mắng khán giả chê ""Táo Quân""",2023-01-25T21:02:16
NÓI THẲNG: Cái tát của mẹ - Xuân Bắc là mẹ công chúng?,2023-01-25T17:54:14
"Xuân Bắc ẩn ý mắng khán giả ""Ăn cháo đá bát"": Phát ngôn kiêu ngạo, dễ gây phản cảm và cần xin lỗi",2023-01-25T17:50:00
"Xuân Bắc kể chuyện ""con chê bánh chưng bị tát"", cộng đồng mạng phản ứng gay gắt",2023-01-25T14:40:19
"NSƯT Xuân Bắc khiến dư luận dậy sóng đầu năm với status có câu ""Mày là đồ ăn cháo đá bát""",2023-01-25T14:37:02
"""Chê bánh chưng bị ăn tát"", nghệ sĩ Xuân Bắc đang ám chỉ gì?",2023-01-25T13:11:31
Xuân Bắc mắng người chê Táo quân: Cú tát vào mặt khán giả!,2023-01-25T11:21:57
NSƯT Xuân Bắc nói gì khi bị yêu cầu xin lỗi sau bài đăng bóng gió mắng khán giả chê Táo Quân?,2023-01-25T10:28:00
"Xuân Bắc ""mắng"" người chê Táo quân là ""ăn cháo đá bát""?",2023-01-24T20:40:09
"Phản ứng của Xuân Bắc khi có khán giả nhắn tin: ""Táo Quân năm nay chán!""",2023-01-22T19:46:00
"NSƯT Xuân Bắc: ""Tôi không nghĩ Táo Quân kéo dài 20 năm, được yêu thích đến thế, dù đôi lúc tôi bị chê mở tivi thấy mặt ông này là muốn tắt""",2023-01-22T11:00:00
"Xuân Bắc nửa đêm vẫn đến nhà Công Lý, lý do khiến fan cảm động",2023-01-20T12:30:00
"Người tạo hình cho Công Lý, Xuân Bắc trong Táo Quân hơn chục năm qua là ai?",2023-01-13T08:22:25
"Bà xã kể chuyện của NS Công Lý tại hậu trường Táo Quân, xúc động 1 câu nói của NS Xuân Bắc",2023-01-10T16:09:00
"Sao Việt 30/12: Các nghệ sỹ Công Lý, Xuân Bắc, Quốc Khánh tập Táo Quân 2023",2022-12-30T11:07:00
Xuân Bắc và Nhà hát Kịch Việt Nam đón nhận Huân chương Lao động hạng ba,2022-12-15T12:20:00
"Lâu lắm mới xuất hiện nhưng Bi Béo nhà Xuân Bắc lại gây bất ngờ với vẻ ngoài khác lạ, đến mẹ ruột cũng ngạc nhiên!",2022-11-14T23:45:00
"Hai ""quý tử"" nhà Xuân Bắc trưởng thành sau Táo Quân: Bi Béo cao lớn, cậu cả như bố thời trẻ",2022-11-09T22:31:06
"NSƯT Xuân Bắc cùng giới trẻ Hà thành ""đột nhập"" Xứ Sở Lạ Lùng",2022-10-24T17:30:00
"Sao Việt 28/9: Tự Long ""bóc phốt"" bạn thân Xuân Bắc",2022-09-28T07:38:00
NSND Tự Long: Tôi với Xuân Bắc trên 20 năm nay vẫn nhịn nhau để cùng diễn cùng làm nghề,2022-08-14T13:56:00
"Con trai Xuân Bắc kể chuyện học môn Lịch sử: Đang vui thì cậu nhóc ""quay xe"" nói 1 câu khiến bố ""toát mồ hôi hột""",2022-08-05T22:17:00
"Gần 30 năm tình bạn tri kỷ của Xuân Bắc - Tự Long, kết hợp ăn ý trên mọi mặt trận",2022-08-03T20:40:00
"Công bố 139 hồ sơ xét nghệ sĩ nhân dân, nhiều tên quen thuộc như Xuân Bắc, Chí Trung, Quốc Khánh",2022-07-26T16:29:00
Nghệ sĩ Công Lý rạng rỡ khi hội ngộ Xuân Bắc - Quang Thắng,2022-06-22T09:10:00
"NSƯT Xuân Bắc: “Sinh Con, Sinh Cha” là chương trình có chiều sâu, đi vào lòng người, đi vào nhận thức",2022-06-07T13:30:00
Ơn Giời Cậu Đây Rồi: Trường Giang nói lý do Xuân Bắc không làm MC,2022-06-04T14:25:00
"Xuân Bắc ""cưa sừng làm nghé"", bà xã ""chốt"" liền 1 câu khiến dân mạng cười ""thả ga""",2022-06-02T13:23:00
Thái độ của Cát Phượng khi bị Xuân Bắc nhắc đến chuyện tình cảm hậu chia tay Kiều Minh Tuấn,2022-05-23T15:05:00
"NSƯT Xuân Bắc: ""Tôi chưa bao giờ mắng con vì điểm số""",2022-05-18T08:44:00
"Thay Xuân Bắc làm MC Ơn Giời Cậu Đây Rồi, Trường Giang có động thái bất ngờ liên quan đến Running Man",2022-05-13T11:29:00
"Chỉ 1 bình luận với người hâm mộ, Xuân Bắc lộ cách dạy con khiến nhiều người phải nể phục: Nghiêm khắc nhưng rất tinh tế",2022-05-11T20:31:00
Danh tính MC thay thế NSƯT Xuân Bắc dẫn Ơn Giời Cậu Đây Rồi mùa 8,2022-05-10T14:31:00
